business_id,name,schools,open,category,subcategory,is_vegetarian,review_count,stars,neighborhoods,url,photo_url,city,state,latitude,longitude,is_popular
_fT1huneKpDiFZoNrLaFDA,Tokyo Sushi,University of Maryland - College Park,yes,Restaurant,American,no,8,2.5,University of Maryland - College Park,http://www.yelp.com/biz/tokyo-sushi-hyattsville,http://s3-media2.ak.yelpcdn.com/bphoto/H8_5j-VoB9SeverSxzUPPg/ms.jpg,Hyattsville,MD,38.9684436,-76.9521694,0
_FyFa245YqvWrmCn5zqtlQ,Starbucks Coffee Company,University of Waterloo,yes,Cafes,Beverages,no,2,2.5,University of Waterloo,http://www.yelp.ca/biz/starbucks-coffee-company-waterloo,http://s3-media1.ak.yelpcdn.com/bphoto/ovV7TxE5kIcdEFenofHJGA/ms.jpg,Waterloo,ON,43.463643,-80.5219883,0
_gMudADHrACVPC9rnnmuzg,Flat Patties,Massachusetts Institute of Technology,yes,Diners,American,no,260,3.5,Harvard Square,http://www.yelp.com/biz/flat-patties-cambridge,http://s3-media3.ak.yelpcdn.com/bphoto/KupbSB9Dm9IyaYOZIm-w8Q/ms.jpg,Cambridge,MA,42.3732342,-71.120792,0
_GTu9MAHtHMkpIUbGSMsdg,Bob's Big Boy Restaurant,California Institute of Technology,no,Breakfast,American,no,73,3,Pasadena,http://www.yelp.com/biz/bobs-big-boy-restaurant-pasadena,http://s3-media4.ak.yelpcdn.com/bphoto/miUKal_6P1GgjtJ97HHt9g/ms.jpg,Pasadena,CA,34.1408505,-118.1317484,0
_HHyl90DifZwovr5Oxkptg,Potbelly Sandwich Works,University of Maryland - College Park,yes,Delis,American,no,24,4,University of Maryland - College Park,http://www.yelp.com/biz/potbelly-sandwich-works-college-park-2,http://s3-media1.ak.yelpcdn.com/bphoto/5CbWEyYVH1x9GGcvU3tL2g/ms.jpg,College Park,MD,38.9815759,-76.938157,1
_hmURvTcQ9qEjB_BjOR5mA,The State Diner,Cornell University,yes,Diners,American,no,17,3,Cornell University,http://www.yelp.com/biz/the-state-diner-ithaca,http://s3-media1.ak.yelpcdn.com/bphoto/WORaoAvdO-FeeIB8T1jPtg/ms.jpg,Ithaca,NY,42.439523,-76.505202,0
_iVfJSoo0H2lySFkRIfHHw,FIne Art Food Trucks - MFAH,Rice University,yes,FoodStand,American,no,2,4.5,Museum District,http://www.yelp.com/biz/fine-art-food-trucks-mfah-houston,http://s3-media4.ak.yelpcdn.com/bphoto/X-51EhaezhLQanjjQK1xWw/ms.jpg,Houston,TX,29.7261363,-95.3910209,1
_J7S7ftSJh4gaYfLOAEVgA,Quiznos Subs,Georgia Institute of Technology,yes,Restaurant,American,no,6,4,Midtown,http://www.yelp.com/biz/quiznos-subs-atlanta-5,http://s3-media1.ak.yelpcdn.com/bphoto/Vb_Gmw3NWEVb-VS98GyFIw/ms.jpg,Atlanta,GA,33.774062,-84.385486,0
_JCVHifaphLx8MxSCjrjmQ,Hi-Rise At the Blacksmith House,Massachusetts Institute of Technology,no,Delis,American,no,97,3,Harvard Square,http://www.yelp.com/biz/hi-rise-at-the-blacksmith-house-cambridge,http://s3-media2.ak.yelpcdn.com/bphoto/WnkaVAumZnXgguq4CWwmvw/ms.jpg,Cambridge,MA,42.3744,-71.1218949,1
_jg2zJPu7iNI0Ct0XNN3YQ,Punjabi By Nature,University of California at Berkeley,yes,Restaurant,Indian,no,120,3,Downtown Berkeley,http://www.yelp.com/biz/punjabi-by-nature-berkeley,http://s3-media2.ak.yelpcdn.com/bphoto/zDhR65nRicsGU2uDodvAog/ms.jpg,Berkeley,CA,37.8701853,-122.2658691,0
_JJNJEzPiSq9I0pCKSQrcQ,Kilwin's Chocolate Shoppe,University of Michigan - Ann Arbor,yes,Patisserie,Dessert,no,41,4,Downtown Ann Arbor,http://www.yelp.com/biz/kilwins-chocolate-shoppe-ann-arbor,http://s3-media4.ak.yelpcdn.com/bphoto/SQFjOhb_w28G2_ATg2mBFg/ms.jpg,Ann Arbor,MI,42.2796604,-83.748141,0
_jt9RgXANv9Ryq86gkym7A,Mammaw's Sweet Shoppe,Purdue University,yes,Patisserie,Dessert,no,2,3.5,Purdue University,http://www.yelp.com/biz/mammaws-sweet-shoppe-lafayette,http://s3-media1.ak.yelpcdn.com/bphoto/Ueo2ulO86OQpMzWzLXzRfQ/ms.jpg,Lafayette,IN,40.4175416,-86.8387801,0
_jzg5LAmk9etkTCfq7XEzQ,Puzzles,University of California - Los Angeles,no,Diners,American,no,2,3,Westwood,http://www.yelp.com/biz/puzzles-los-angeles-3,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,Los Angeles,CA,34.074064,-118.4496233,1
_kukye9j79yaTjjedDwrcQ,Caffe Strada,University of California at Berkeley,yes,Cafes,Beverages,no,451,4,UC Campus Area,http://www.yelp.com/biz/caffe-strada-berkeley,http://s3-media4.ak.yelpcdn.com/bphoto/fQhJx9cH6OWkU08FwIMqMA/ms.jpg,Berkeley,CA,37.86912823,-122.2548294,0
_m1HXLFYjIkA7VvQQ1M7Wg,Yogiberry,University of Maryland - College Park,yes,Pattisserie,Dessert,no,40,3.5,University of Maryland - College Park,http://www.yelp.com/biz/yogiberry-college-park,http://s3-media4.ak.yelpcdn.com/bphoto/lw2fNUpw3dZGNcTGVn-wqA/ms.jpg,College Park,MD,38.9844061,-76.937447,0
_Met0Sfox5j97jnRCxr9tw,Roman Pizzeria and Restaurant,Princeton University,yes,Restaurant,Italian,no,2,4,Princeton University,http://www.yelp.com/biz/roman-pizzeria-and-restaurant-princeton,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,Princeton,NJ,40.382611,-74.5989275,0
_ml4baOfxBFt8Gynh_nC5Q,Francesca's,Rensselaer Polytechnic Institute,yes,Delis,American,no,15,4.5,Rensselaer Polytechnic Institute,http://www.yelp.com/biz/francescas-troy,http://s3-media2.ak.yelpcdn.com/bphoto/_W6pQBCY_UhaM43Pbnv2rg/ms.jpg,Troy,NY,42.730837,-73.687962,1
_mP885JDFtZiQI-zxnvScQ,Arby's Roast Beef Restaurants,Georgia Institute of Technology,yes,Diners,American,no,4,3.5,Midtown,http://www.yelp.com/biz/arbys-roast-beef-restaurants-atlanta-3,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,Atlanta,GA,33.7748903,-84.3890588,1
_mv3DhRD3L3okFXYjxX_Cg,Chang Luong Restaurant,University of California at Berkeley,yes,Restaurant,Chinese,no,66,2.5,Telegraph Ave,http://www.yelp.com/biz/chang-luong-restaurant-berkeley,http://s3-media3.ak.yelpcdn.com/bphoto/cM3Nuc5KnRB1vleYyIN1jg/ms.jpg,Berkeley,CA,37.8680415,-122.2582906,0
_n5wggIEfBzCUepjgvHXAQ,Sushi Ichiban,University of Illinois - Urbana-Champaign,yes,Restaurant,Japanese,no,10,4,University of Illinois - Urbana-Champaign,http://www.yelp.com/biz/sushi-ichiban-champaign,http://s3-media3.ak.yelpcdn.com/bphoto/-ZmhkZZ8EeNupNT5ZxKFYg/ms.jpg,Champaign,IL,40.110821,-88.229156,0
_NH_zAXlZqfdWXgbsa_WIA,Yum Yum Cha,Rice University,yes,Restaurant,Chinese,no,100,3.5,West University,http://www.yelp.com/biz/yum-yum-cha-houston,http://s3-media1.ak.yelpcdn.com/bphoto/qdivnh_QHVvmfw4YxlsEjQ/ms.jpg,Houston,TX,29.716665,-95.4162176,1
_pM4auWs2jTpyHez-YOASg,Southern Lights,University of California - Los Angeles,yes,Cafes,Beverages,no,2,2,Westwood,http://www.yelp.com/biz/southern-lights-los-angeles,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,Los Angeles,CA,34.06835166,-118.4424233,0
_PNetaTb1BkOHb1Jk2xdLA,Annex Restaurant,Princeton University,yes,Restaurant,American,no,2,2.5,Princeton University,http://www.yelp.com/biz/annex-restaurant-princeton,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,Princeton,NJ,40.3499721,-74.6587283,0
_PXfiL60ObKC9KUIMNiTRA,Hot Wok Cafe,Princeton University,yes,Restaurant,Chinese,no,15,4,Princeton University,http://www.yelp.com/biz/hot-wok-cafe-princeton-junction,http://s3-media4.ak.yelpcdn.com/bphoto/_u1i8hDvtRsW28m7YKKX_g/ms.jpg,Princeton Junction,NJ,40.3002139,-74.641201,0
_q_lPi7HBUd3HIrSAHcrnA,The Habit Burger Grill,California Polytechnic State University,yes,Delis,American,no,65,4,California Polytechnic State University,http://www.yelp.com/biz/the-habit-burger-grill-san-luis-obispo,http://s3-media3.ak.yelpcdn.com/bphoto/PpboXiiM0t10D7Oohfe0zw/ms.jpg,San Luis Obispo,CA,35.2800373,-120.6625925,0
_qGDRfTvIwUqFtI1mGI8Rg,John Thomas Steakhouse,Cornell University,yes,Steakhouses,American,no,51,4.5,Cornell University,http://www.yelp.com/biz/john-thomas-steakhouse-ithaca,http://s3-media4.ak.yelpcdn.com/bphoto/9VFbz9FF8-1xaBvfgTBH4w/ms.jpg,Ithaca,NY,42.4019323,-76.5011564,1
